epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9298,1.35161,3.01762,1.4698,0.53999,0.28174,0.28199,0.14143,1.70388,2.36653,1.66071,0.00332143,0.00332143,0.00332143
2,82.9572,1.36204,2.09647,1.43977,0.49117,0.27298,0.24341,0.12962,1.77317,2.43925,1.81784,0.00664159,0.00664159,0.00664159
3,125.454,1.44846,2.06736,1.50244,0.28839,0.27827,0.21431,0.10284,1.92181,3.12013,1.89699,0.00994854,0.00994854,0.00994854
4,167.413,1.52297,2.07111,1.55863,0.2794,0.27676,0.22716,0.10299,1.98602,2.71939,1.96115,0.0099406,0.0099406,0.0099406
5,209.475,1.51338,1.99547,1.54936,0.53197,0.26441,0.23529,0.11835,1.8801,2.69153,1.91451,0.0099208,0.0099208,0.0099208
6,251.394,1.48632,1.90783,1.55404,0.3214,0.28434,0.26443,0.13542,1.95915,2.31592,1.87552,0.009901,0.009901,0.009901
7,293.296,1.4567,1.80115,1.51854,0.58149,0.30358,0.29579,0.1518,1.80019,2.20661,1.81507,0.0098812,0.0098812,0.0098812
8,334.392,1.43531,1.74215,1.50269,0.42487,0.32744,0.35449,0.18286,1.81094,2.02358,1.75052,0.0098614,0.0098614,0.0098614
9,375.382,1.39875,1.66211,1.47127,0.65068,0.29283,0.3379,0.18163,1.82178,2.10749,1.80789,0.0098416,0.0098416,0.0098416
10,417.402,1.37882,1.60996,1.45714,0.39967,0.37588,0.38934,0.20867,1.70444,1.85942,1.69264,0.0098218,0.0098218,0.0098218
11,459.404,1.36608,1.55265,1.45036,0.69982,0.33648,0.39572,0.21414,1.75508,1.84399,1.71773,0.009802,0.009802,0.009802
12,501.393,1.35472,1.54318,1.45151,0.5781,0.38554,0.41221,0.21875,1.80019,1.92692,1.72819,0.0097822,0.0097822,0.0097822
13,543.322,1.34296,1.50212,1.43816,0.55264,0.39302,0.42042,0.22561,1.69256,1.7755,1.66378,0.0097624,0.0097624,0.0097624
14,585.218,1.33442,1.47536,1.42629,0.60625,0.39485,0.4137,0.2227,1.72833,1.72745,1.67455,0.0097426,0.0097426,0.0097426
15,627.118,1.33114,1.45094,1.42414,0.43176,0.43518,0.43835,0.2417,1.65175,1.65166,1.59692,0.0097228,0.0097228,0.0097228
16,668.972,1.30045,1.42506,1.40425,0.54953,0.4294,0.46116,0.25374,1.68374,1.69866,1.64496,0.009703,0.009703,0.009703
